### Intel 64 and IA-32 Architectures Software Developer Manuals

| Organization | Short Name | Title                                    | Version | Date     | Link |
|--------------|------------|------------------------------------------|---------|----------|------|
| Intel        | SDM Vol 1  | Volume 1: Basic Architecture             |         | Jun 2021 | pdf  |
| Intel        | SDM Vol 2  | Volume 2: Instruction Set Reference, A-Z |         | Jun 2021 | pdf  |
| Intel        | SDM Vol 3  | Volume 3: System Programming Guide       |         | Jun 2021 | pdf  |
| Intel        | SDM Vol 4  | Volume 4: Model-Specific Registers       |         | Jun 2021 | pdf  |

### Intel Chips Specifications

| Organization | Short Name | Title                                                           | Version | Date     | Link |
|--------------|------------|-----------------------------------------------------------------|---------|----------|------|
| Intel        | x2APIC     | Intel 64 Architecture x2APIC Specification                      |         | Jun 2008 | pdf  |
| Intel        | HPET       | IA-PC HPET (High Precision Event Timers) Specification          | 1.0a    | Oct 2004 | pdf  |
| Intel        | PIIX4      | 82371AB PCI-TO-ISA / IDE Xcelerator (PIIX4)                     |         | Apr 1997 | pdf  |
| Intel        | PIIX/PIIX3 | 82371FB (PIIX) and 82371SB (PIIX3) PCI ISA IDE Xcelerator       |         | Apr 1997 | pdf  |
| Intel        | IOAPIC     | 82093AA I/O Advanced Programmable Interrupt Controller (IOAPIC) |         | May 1996 | pdf  |
| Intel        | PIT        | 8254 Programmable Interval Timer                                |         | Sep 1993 | pdf  |
| Intel        | PIC        | 8259A Programmable Interrupt Controller (8259A/8259A-2)         |         | Dec 1988 | pdf  |
| Intel        | DMA        | 8237/8237-2 High Performance Programmable DMA Controller        |         | May 1979 | pdf  |

### BIOS, UEFI, Boot, and Configuration Specifications

| Organization           | Short Name | Title                                                        | Version | Date          | Link     |
|------------------------|------------|--------------------------------------------------------------|---------|---------------|----------|
| DMTF                   | SMBIOS     | System Management BIOS (SMBIOS) Reference Specification      | 3.5     | Sep 2021      | pdf      |
| UEFI Forum             | UEFI       | Unified Extensible Firmware Interface                        | 2.11    | Nov 2024      | pdf html |
| UEFI Forum             | UEFI Shell | UEFI Shell Specification                                     | 2.2     | Jan 2016      | pdf      |
| UEFI Forum             | UEFI PIS   | UEFI Platform Initialization Specification                   | 1.9     | Dec 2024      | pdf html |
| UEFI Forum             | ACPI       | Advanced Configuration and Power Interface                   | 6.6     | May 2025      | pdf html |
| FSF                    | Multiboot2 | Multiboot2 Specification                                     | 2.0     | 2016          | html     |
| FSF                    | Multiboot  | Multiboot Specification                                      | 0.6.96  | 2010          | html     |
| Intel                  | MPS        | MultiProcessor Specification                                 | 1.4     | May 1997      | pdf      |
| Intel, Microsoft       | APM        | Advanced Power Management (APM) BIOS Interface Specification | 1.2     | Feb 1996      | pdf      |
| Compaq, Phoenix, Intel | BBS        | BIOS Boot Specification                                      | 1.01    | Jan 1996      | pdf      |
| Phoenix, IBM           | El Torito  | "El Torito" Bootable CD-ROM Format Specification             | 1.0     | Jan 1995      | pdf      |
| Compaq, Phoenix, Intel | PNPBIOS    | Plug and Play BIOS Specification                             | 1.0a    | May 1994      | pdf      |
| INCITS T13             | BIOS EDD-3 | BIOS Enhanced Disk Drive Services - 3                        | 3       | November 2004 | pdf      |

### PCI Specifications

| Organization     | Short Name | Title                                             | Version | Date     | Link |
|------------------|------------|---------------------------------------------------|---------|----------|------|
| PCI Express      |            |                                                   |         |          |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 6.0     | Jan 2022 |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 5.0     | Jul 2019 |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 4.0     | Oct 2017 |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 3.1a    | Dec 2015 |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 3.0     | Nov 2010 |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 2.1     | Mar 2009 |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 2.0     | Dec 2006 | pdf  |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 1.1     | 2005     |      |
| PCI-SIG          | PCIe       | PCI Express Base Specification                    | 1.0a    | 2003     |      |
| PCI-X            |            |                                                   |         |          |      |
| PCI-SIG          | PCI-X      | PCI-X 2.0 Specification                           | 2.0     | Jul 2002 |      |
| PCI-SIG          | PCI-X      | PCI-X Addendum to the PCI Local Bus Specification | 1.0     | Sep 1999 | pdf  |
| PCI Conventional |            |                                                   |         |          |      |
| PCI-SIG          | PCI        | PCI Local Bus Specification                       | 3.0     | Feb 2004 |      |
| PCI-SIG          | PCI        | PCI Local Bus Specification                       | 2.3     | Mar 2002 |      |
| PCI-SIG          | PCI        | PCI Local Bus Specification                       | 2.2     | Dec 1998 | pdf  |
