# 1.7. Features

The following table shows the features of Bochs and which platforms they currently work with.

**Table 1-1. Bochs Features**

| Feature                            | Supported? | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|------------------------------------|------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| configure script                   | Yes        | Bochs uses GNU autoconf to configure Makefiles and headers. Autoconf helps Bochs to compile on a wide variety of platforms.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 386,486,Pentium Emulation          | Yes        | Bochs can be configured to emulate one of several families of Intel hardware. Some Pentium features are incomplete, such as SMM (System Management Mode).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| P6 and later CPU Emulation         | Yes        | Bochs can be configured to emulate any P6 family processor including optional MMX and SSEx instructions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| x86-64 Extensions Emulation        | Yes        | Bochs can be configured to emulate x86-64 with many recent Intel and AMD extensions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Command Line Debugger              | Yes        | Powerful command line debugger (optional) that lets you stop execution and examine registers and memory, set breakpoints, etc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| GUI Debugger                       | Yes        | Chourdakis Michael and Bruce Ewing contributed very powerful GUI frontend for Bochs internal debugger. GUI debugger frontend is supported for Win32 and GTK2/GTK3 hosts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Floating Point                     | Yes        | Uses software floating point engine based on [SoftFloat floating point emulation library](http://www.jhauser.us/arithmetic/SoftFloat.html) .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Enhanced BIOS                      | Yes        | Implements ElTorito, EDD v3.0, basic APM feature, PCIBIOS features and the PCI interrupt routing table. The latest version of the Bochs BIOS has a 32-bit init for ACPI, SMM and SMP. Bochs also known to work with recent [SeaBIOS](http://www.seabios.org/) images.                                                                                                                                                                                                                                                                                                                                                                                                            |
| VGA                                | Yes        | VGA color graphics emulation in a window.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| VBE (VESA) Support                 | Yes        | Currently resolutions up to 2560x1600x32bpp are supported. You must enable VBE with the VGA extension option and use the LGPL'd VGABIOS. For more information see [Section 9.18](https://bochs.sourceforge.io/doc/docbook/user/vesa-notes.html) .                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Cirrus Logic video card            | Yes        | Cirrus Logic CL-GD5430 ISA or CL-GD5446 PCI video card support. For more information see [Section 9.19](https://bochs.sourceforge.io/doc/docbook/user/cirrus-notes.html) .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 3D video card                      | Yes        | Four 3dfx Voodoo graphics adapter models are supported now. For more information see [Section 9.20](https://bochs.sourceforge.io/doc/docbook/user/voodoo-notes.html) .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Plug&play monitor                  | Yes        | VESA DDC is now supported by all VGA compatible display adapters. The LGPL'd VGABIOS has been updated use this feature for the Bochs VBE, Voodoo Banshee and Cirrus versions. The interface reports a plug&play monitor called "Bochs Screen".                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Floppy disk                        | Yes        | Supports floppy disk images on all platforms: 2.88M 3.5", 1.44M 3.5", 1.2M 5.25", 720K 3.5" and 360K 5.25". On Unix and Windows NT/2000/XP, Bochs can access the physical floppy drive. It is also possible to use a local directory as VFAT media (1.44M only).                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Multiple ATA channels              | Yes        | Emulates up to 4 ATA channels. Up to 8 ATA/ATAPI emulated devices can be attached, two per ATA channel. So you can have eight hard disks or seven hard disks and a CD-ROM or four hard disks and four CD-ROMs, or one hard disk and seven CD-ROMs, etc...                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Hard disk                          | Yes        | Emulates ATA-6/IDE hard drives via image files. Physical hard disk access is supported on some architecture, but NOT recommended, primarily for safety reasons. With LBA48 support, hard disks up to 255TB are supported, on any platform that support large files access. It is also possible to use a local directory as VFAT drive.                                                                                                                                                                                                                                                                                                                                           |
| CD-ROM                             | Yes        | Emulates ATAPI-4/IDE CD-ROM. The CD-ROMs can read from an ISO disk image on any platform. On Windows (NT/2000/XP/Vista), Linux, SunOS, FreeBSD, NetBSD, OpenBSD, Amiga/MorphOS and MacOSX, Bochs can read from the physical CD-ROM drive. The Bochs BIOS supports booting from the first CD-ROM drive.                                                                                                                                                                                                                                                                                                                                                                           |
| Keyboard                           | Yes        | Emulates a PS/2 keyboard with North American key mappings. Optional keyboard layout remapping files are provided to support localized keyboard in X11 (12 layouts, e.g. French, German, Italian, Russian, Spanish, U.K.) and SDL/SDL2 (German).                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Mouse                              | Yes        | Emulates a serial, PS/2, bus or USB mouse with 3 buttons + optional mouse wheel support. There is also a USB tablet emulation available.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Sound card                         | Yes        | Emulates a Sound Blaster 16 card (ISA, no plug&play) or an ES1370 PCI card. The SB16 emulation provides wave input / output, the OPL3 chip, the external MIDI port and volume control for wave and FM. The ES1370 provides wave input / output, the MIDI UART port and volume control for wave output. On Windows, Linux, FreeBSD, MacOS 9, MacOSX and all platforms supported by SDL, the output can be sent to the host computer's sound system. For the SB16, see the [developer documentation](https://bochs.sourceforge.io/doc/docbook/development/sb16-emulation-basics.html) for details.                                                                                 |
| Network card                       | Yes        | Emulates an NE2000 compatible network card (ISA / PCI) or an Intel(R) 82540EM Gigabit Ethernet adapter (PCI). On Windows NT/2000, Linux, FreeBSD, and NetBSD, Bochs will forward packets to and from the operating system so that the guest OS can talk on the physical network. Unfortunately, on some platforms the guest OS can talk to any machine on the network BUT NOT the host machine. On Windows and on systems that allow the TAP or TUN/TAP interface, there is no such limitation. Often the host machine may be configured so the guest OS has access to the internet. On MacOSX, you may download the TUN driver from: <http://chrisp.de/en/projects/tunnel.html> |
| Parallel Port                      | Yes        | Parallel port emulation was added by Volker Ruppert for Bochs 1.3. Data that is sent to the parallel port by the guest OS can be saved into a file or sent directly into the parallel port device (Unix only).                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Serial Port                        | Yes        | The serial port (16550A UART emulation) is usable, on GNU/Linux, NetBSD, OpenBSD, FreeBSD and MacOSX as host and guest. On other OSes the emulation is present, but the connection to hard- or software of the host is not implemented yet. Up to 4 ports are available.                                                                                                                                                                                                                                                                                                                                                                                                         |
| Gameport                           | Yes        | Emulates a standard PC gameport. The connection to a real joystick is currently supported on Linux and win32 only.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| PCI                                | Yes        | Emulates most of the i430FX, i440FX or i440BX PCI chipset. The Host-to-PCI bridge, the PCI-to-ISA bridge and the PCI IDE controller (PIIX3/PIIX4) are available. For PCI cards there are 5 PCI slots supported. ACPI and HPET features are also available. The i440BX chipset has basic support for AGP.                                                                                                                                                                                                                                                                                                                                                                         |
| USB                                | Yes        | Four types of host controllers (UHCI, OHCI, EHCI and xHCI) and the devices 'mouse', 'tablet', 'keypad', 'keyboard', 'disk', 'cdrom', 'floppy', 'hub' and 'printer' are available. Plugging in and removing devices at runtime is possible. Access to real hardware is not implemented yet.                                                                                                                                                                                                                                                                                                                                                                                       |
| Plugins                            | Yes        | Compiling devices, GUI and drivers for network, sound and disk image formats as plugins are supported on Linux, MacOS X, Solaris, Cygwin, MinGW/MSYS, MSVC nmake and the VS2019 IDE (workspace provided).                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| PIC                                | Yes        | Master and slave programmable interrupt controller.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
