\[**internal**\] List of the supported semantics for the x86 and x86-64 architectures.

| Mnemonic      | Extensions | Description                                                                       |
|---------------|------------|-----------------------------------------------------------------------------------|
| AAA           |            | ASCII Adjust After Addition                                                       |
| AAD           |            | ASCII Adjust AX Before Division                                                   |
| AAM           |            | ASCII Adjust AX After Multiply                                                    |
| AAS           |            | ASCII Adjust AL After Subtraction                                                 |
| ADC           |            | Add with Carry                                                                    |
| ADCX          | adx        | Unsigned Integer Addition of Two Operands with Carry Flag                         |
| ADD           |            | Add                                                                               |
| AND           |            | Logical AND                                                                       |
| ANDN          | bmi1       | Logical AND NOT                                                                   |
| ANDNPD        | sse2       | Bitwise Logical AND NOT of Packed Double-Precision Floating-Point Values          |
| ANDNPS        | sse1       | Bitwise Logical AND NOT of Packed Single-Precision Floating-Point Values          |
| ANDPD         | sse2       | Bitwise Logical AND of Packed Double-Precision Floating-Point Values              |
| ANDPS         | sse1       | Bitwise Logical AND of Packed Single-Precision Floating-Point Values              |
| BEXTR         | bmi1/tbm   | Bit Field Extract                                                                 |
| BLSI          | bmi1       | Extract Lowest Set Isolated Bit                                                   |
| BLSMSK        | bmi1       | Get Mask Up to Lowest Set Bit                                                     |
| BLSR          | bmi1       | Reset Lowest Set Bit                                                              |
| BSF           |            | Bit Scan Forward                                                                  |
| BSR           |            | Bit Scan Reverse                                                                  |
| BSWAP         |            | Byte Swap                                                                         |
| BT            |            | Bit Test                                                                          |
| BTC           |            | Bit Test and Complement                                                           |
| BTR           |            | Bit Test and Reset                                                                |
| BTS           |            | Bit Test and Set                                                                  |
| CALL          |            | Call Procedure                                                                    |
| CBW           |            | Convert byte (al) to word (ax)                                                    |
| CDQ           |            | Convert dword (eax) to qword (edx:eax)                                            |
| CDQE          |            | Convert dword (eax) to qword (rax)                                                |
| CLC           |            | Clear Carry Flag                                                                  |
| CLD           |            | Clear Direction Flag                                                              |
| CLFLUSH       | sse2       | Flush Cache Line                                                                  |
| CLI           |            | Clear Interrupt Flag                                                              |
| CLTS          |            | Clear Task-Switched Flag in CR0                                                   |
| CMC           |            | Complement Carry Flag                                                             |
| CMOVA         |            | Move if not below                                                                 |
| CMOVAE        |            | Move if not below or equal                                                        |
| CMOVB         |            | Move if below                                                                     |
| CMOVBE        |            | Move if below or equal                                                            |
| CMOVE         |            | Move if zero                                                                      |
| CMOVG         |            | Move if not less                                                                  |
| CMOVGE        |            | Move if not less or equal                                                         |
| CMOVL         |            | Move if less                                                                      |
| CMOVLE        |            | Move if less or equal                                                             |
| CMOVNE        |            | Move if not zero                                                                  |
| CMOVNO        |            | Move if not overflow                                                              |
| CMOVNP        |            | Move if not parity                                                                |
| CMOVNS        |            | Move if not sign                                                                  |
| CMOVO         |            | Move if overflow                                                                  |
| CMOVP         |            | Move if parity                                                                    |
| CMOVS         |            | Move if sign                                                                      |
| CMP           |            | Compare Two Operands                                                              |
| CMPSB         |            | Compare byte at address                                                           |
| CMPSD         |            | Compare doubleword at address                                                     |
| CMPSQ         |            | Compare quadword at address                                                       |
| CMPSW         |            | Compare word at address                                                           |
| CMPXCHG       |            | Compare and Exchange                                                              |
| CMPXCHG16B    |            | Compare and Exchange 16 Bytes                                                     |
| CMPXCHG8B     |            | Compare and Exchange 8 Bytes                                                      |
| CPUID         |            | CPU Identification                                                                |
| CQO           |            | Convert qword (rax) to oword (rdx:rax)                                            |
| CWD           |            | Convert word (ax) to dword (dx:ax)                                                |
| CWDE          |            | Convert word (ax) to dword (eax)                                                  |
| DEC           |            | Decrement by 1                                                                    |
| DIV           |            | Unsigned Divide                                                                   |
| ENDBR32       |            | No Operation                                                                      |
| ENDBR64       |            | No Operation                                                                      |
| EXTRACTPS     | sse4.1     | Extract Packed Single Precision Floating-Point Value                              |
| IDIV          |            | Signed Divide                                                                     |
| IMUL          |            | Signed Multiply                                                                   |
| INC           |            | Increment by 1                                                                    |
| INVD          |            | Invalidate Internal Caches                                                        |
| INVLPG        |            | Invalidate TLB Entry                                                              |
| JA            |            | Jump if not below (Jump if above)                                                 |
| JAE           |            | Jump if not below or equal (Jump if above or equal)                               |
| JB            |            | Jump if below                                                                     |
