|                                                                                                                       |     |
|-----------------------------------------------------------------------------------------------------------------------|-----|
| This page or section is a work in progress and may thus be incomplete. Its content may be changed in the near future. |     |

For convenience, this is a guide to the various different Intel NICs that are available.

## ISA

| Device                    | Chipset | Codename | Speed | Year |
|---------------------------|---------|----------|-------|------|
| Intel EtherExpress PRO/10 | 82595   |          | 10M   | 1995 |

## PCI

| Device                      | Chipset | Codename    | Speed | Year |
|-----------------------------|---------|-------------|-------|------|
| Intel EtherExpress PRO/100+ | 82558   |             | 100M  | 1997 |
| Intel EtherExpress PRO/100+ | 82559   |             | 100M  | 1999 |
| Intel PRO/1000 S            | 82540   | Gainesville | 1G    | 2002 |

## PCI-X

| Device               | Chipset | Codename | Speed | Year |
|----------------------|---------|----------|-------|------|
| Intel PRO/1000 MF    | 82546   | Eldridge | 1G    | 2003 |
| Intel® PRO/10GbE CX4 | 82597   | Cibolo   | 10G   | 2004 |

## PCIe

| Device      | Chipset | Codename        | Year |
|-------------|---------|-----------------|------|
| Gigabit     |         |                 |      |
| PRO/1000 PT | 82572   | Dewey Beach     | 2006 |
| i350        | i350    | Powerville      | 2010 |
| i210        | i210    |                 | 2012 |
| i217        | i217    |                 | 2013 |
| i219        | i219    |                 | 2015 |
| 2.5 GbE     |         |                 |      |
| i225        | i225    |                 | 2020 |
| 10 GbE      |         |                 |      |
| EXPX9502CX4 | 82598EB | Cedar Cove      | 2008 |
| X520        | 82599   | Spring Fountain | 2009 |
| X540        | X540    | Twinville       | 2012 |
| X550        | X550    |                 | 2016 |
| X710        | X710    |                 | 2014 |
| 40 GbE      |         |                 |      |
| X520-QDA1   | 82599   |                 | 2014 |
| XL710       | X710    |                 | 2014 |
| 25 GbE      |         |                 |      |
| XXV710      | X710    |                 | 2017 |
| 100 GbE     |         |                 |      |
| E810        | E810    |                 | 2020 |
| 200 GbE     |         |                 |      |
| E830-CQDA2  | E830    | Emerald Rapids  | 2025 |
